,TotalAssets,LoanAmount,AnnualIncome,MonthlyDebtPayments,BaseInterestRate,LengthOfCreditHistory,Age,TotalLiabilities,CreditScore,CheckingAccountBalance
0,11.892128729889468,9.48440514846878,10.595358919592021,183,0.199652,9,45,9.861831877267296,617,7.0925737159746784
1,10.881907655875832,10.167619484527648,10.589358324125298,496,0.207045,9,38,9.169101623959586,628,8.149312843635345
2,10.133686158324014,9.777243825961877,10.614597433470246,902,0.217627,22,47,11.766598221319262,570,6.79794041297493
3,11.560028492438871,10.542680005498147,11.14309290949077,755,0.300398,10,58,8.58876938990546,545,7.1049654482698426
4,12.406176816911493,9.125326997649227,11.54505377872175,274,0.197184,27,37,9.757710052922787,594,8.513586695822125
5,11.126012202256591,9.644328147017548,12.091284495722787,732,0.217433,19,37,10.617515210675428,626,7.1098794630722715
6,11.091711999893924,9.452658902676433,10.844490409005417,337,0.225741,18,58,10.689555697360309,564,7.459338895220296
7,10.823331962609581,9.88506896701211,11.486026921101528,288,0.226634,11,49,9.355046592975441,516,4.31748811353631
8,10.296643884176694,10.921504202914962,11.668577873780714,638,0.258853,29,34,10.81859758766212,603,6.5638555265321274
9,11.77270948037943,10.144235237798695,10.611917356627231,704,0.184443,10,46,9.461332526110132,612,6.102558594613569
10,11.911480083887986,10.793783324133198,11.207038687863601,267,0.334716,7,34,9.919164031921136,478,8.262558973010657
11,10.406170111359652,10.311914935439406,9.61587214452889,295,0.209588,28,34,8.117908942383155,591,5.855071922202427
12,9.693075115575647,9.689984878258599,11.217936764002674,258,0.234654,7,42,10.47711894709451,573,7.3987862754199485
13,12.110739465461345,9.92524904431764,11.518002554710511,247,0.235439,3,18,11.50318821141448,580,6.821107472256465
14,10.72187875513222,10.210898720168904,10.771113112429003,196,0.213697,21,19,9.150484204822817,597,6.3578422665081
15,12.47394479065913,9.445649620189263,10.944664918551014,336,0.195152,15,33,9.31874624581997,605,4.882801922586371
16,9.320360017014732,9.857757700829954,10.820637914822164,680,0.233105,14,27,11.398602685715527,582,7.106606137727303
17,11.20961523996568,9.51044496442652,11.865882506065535,772,0.226499,2,43,8.346167594364134,644,6.75343791859778
18,10.284625814486557,9.592605086913911,9.681718056775063,286,0.253155,12,29,10.14037620564201,553,7.028201432058005
19,11.760066753358387,9.569063217532216,10.454466147075888,755,0.222314,29,23,11.192802842026108,594,7.649216319820633
20,12.267021920523415,9.661352295040318,11.578244931090872,1059,0.195698,14,57,9.006141236662911,630,8.367532416861831
21,10.096501738868826,9.488426550754516,10.987645884234087,564,0.231205,9,37,9.835315772432795,594,8.555066843844319
22,10.085183913936165,9.191157552559408,11.645855426771487,571,0.197309,2,40,10.21284549666577,635,7.662937850461535
23,9.596350792250211,9.709720748057432,11.055656405795794,376,0.2399759999999999,7,22,10.882302277748641,503,7.459338895220296
24,11.96876678040346,10.774697232969645,10.58852695370191,199,0.275295,4,33,11.246065108210745,555,6.990256500493881
25,11.121511180084724,10.727860344448946,10.98855857063757,222,0.233608,1,41,9.126632622902697,594,8.146129510025405
26,10.304342048086609,9.915465529295535,9.619797501353885,443,0.26424,25,26,9.480978009818704,462,8.9005490139363
27,9.737255856891121,9.973619774716505,9.636000187369866,443,0.212452,29,44,8.854522203757432,608,6.887552571664617
28,10.439688482633347,9.3180281773931,10.477259806052668,698,0.185136,17,32,10.357266520922844,622,5.327876168789581
29,11.857713033195155,10.137175317726008,11.005892639442934,458,0.262264,28,36,10.484976651553191,576,7.597897950521784
30,11.352369313844452,9.88180415770497,10.080042514435746,521,0.20857,27,32,9.062768007509048,592,6.9782137426306985
31,10.948839701563355,10.70703502770651,11.20971003889046,388,0.2161679999999999,3,62,11.414463322947935,667,8.117610746466228
